日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/10/13,"15,401,545","484,078,209",31.65,31.85,31.15,31.55, 0.00,"6,201"
109/10/14,"16,679,240","530,676,698",31.65,32.10,31.60,31.60,+0.05,"6,309"
109/10/15,"9,850,141","310,433,540",31.50,31.80,31.35,31.45,-0.15,"4,070"
109/10/16,"15,998,629","501,444,154",31.30,31.75,31.10,31.15,-0.30,"7,181"
109/10/19,"15,631,493","494,075,955",31.40,31.80,31.20,31.70,+0.55,"6,818"
109/10/20,"21,907,986","699,614,861",31.75,32.15,31.60,31.80,+0.10,"8,568"
109/10/21,"16,480,309","526,792,999",32.05,32.15,31.80,31.85,+0.05,"6,257"
109/10/22,"12,966,955","412,932,233",31.80,32.00,31.65,31.85, 0.00,"4,450"
109/10/23,"112,571,775","3,687,579,531",32.00,33.25,31.85,32.90,+1.05,"38,192"
109/10/26,"144,327,238","4,844,046,200",33.35,34.00,32.80,34.00,+1.10,"49,981"
109/10/27,"323,190,771","11,071,193,379",34.35,35.20,32.90,33.00,-1.00,"102,730"
109/10/28,"83,058,925","2,781,394,137",33.45,33.90,33.10,33.30,+0.30,"28,692"
109/10/29,"44,950,397","1,479,417,838",32.80,33.15,32.60,33.05,-0.25,"16,775"
109/10/30,"46,967,022","1,526,467,879",33.00,33.15,32.00,32.00,-1.05,"17,941"
109/11/02,"31,423,790","995,903,981",32.30,32.50,31.40,31.40,-0.60,"13,585"
109/11/03,"27,542,106","876,389,163",31.75,32.05,31.50,31.80,+0.40,"9,257"
109/11/04,"24,194,417","773,137,842",32.10,32.20,31.65,32.00,+0.20,"8,850"
109/11/05,"21,527,517","683,958,579",31.80,31.95,31.50,31.95,-0.05,"7,414"
109/11/06,"24,389,544","779,304,818",32.20,32.35,31.65,31.70,-0.25,"8,740"
109/11/09,"23,721,906","757,148,002",32.00,32.10,31.75,31.95,+0.25,"7,700"
109/11/10,"24,192,433","765,072,473",31.95,32.00,31.40,31.50,-0.45,"8,626"
109/11/11,"33,873,287","1,054,652,875",31.35,31.45,31.00,31.05,-0.45,"14,582"
109/11/12,"20,934,622","652,885,062",31.25,31.45,31.00,31.15,+0.10,"9,879"
109/11/13,"22,524,566","697,358,517",31.20,31.35,30.60,31.35,+0.20,"9,586"
109/11/16,"66,051,655","2,120,431,672",31.70,32.35,31.55,32.25,+0.90,"22,530"
109/11/17,"151,129,704","4,997,572,391",32.95,33.95,32.90,33.65,+1.40,"52,239"
109/11/18,"109,033,622","3,714,936,990",33.85,34.40,33.80,33.95,+0.30,"32,737"
109/11/19,"75,870,695","2,604,463,015",34.10,34.55,33.95,34.50,+0.55,"23,742"
109/11/20,"120,920,835","4,269,997,382",34.80,35.90,34.75,35.25,+0.75,"44,451"
109/11/23,"164,442,147","6,045,051,193",36.00,37.80,35.50,36.70,+1.45,"58,492"
109/11/24,"101,452,226","3,721,894,672",37.55,37.75,35.70,35.90,-0.80,"38,015"
109/11/25,"75,864,901","2,760,881,759",36.70,37.20,35.50,36.15,+0.25,"27,375"
109/11/26,"43,947,038","1,591,659,116",36.35,36.60,35.60,36.40,+0.25,"16,350"
109/11/27,"184,917,391","7,013,931,949",38.00,38.70,37.10,38.15,+1.75,"58,219"
109/11/30,"94,713,173","3,657,338,211",38.45,39.15,38.05,38.50,+0.35,"33,928"
109/12/01,"114,075,510","4,474,023,950",39.50,39.80,38.35,39.60,+1.10,"41,179"
109/12/02,"179,280,231","7,356,288,530",39.95,41.90,39.80,41.65,+2.05,"63,557"
109/12/03,"119,099,141","4,927,469,291",42.55,42.60,40.60,41.10,-0.55,"44,237"
109/12/04,"182,207,729","7,832,717,157",41.75,44.25,41.55,43.60,+2.50,"66,046"
